drug_class,event_txt,event_category,events_n,subjects_n,hadms_n,poe_ids_n,identity_linked_events_n
intra_abdominal_antibiotics,Restarted,other_excluded,53,53,48,53,44.0
intra_abdominal_antibiotics,Confirmed,confirmed,29,27,22,27,21.0
intra_abdominal_antibiotics,Partial Administered,given_strict,19,18,19,19,19.0
intra_abdominal_antibiotics,Partial Administered,not_given,13,13,13,13,12.0
intra_abdominal_antibiotics,Assessed,other_excluded,8,8,6,8,4.0
intra_abdominal_antibiotics,Not Assessed,other_excluded,6,6,3,6,3.0
intra_abdominal_antibiotics,Not Confirmed,other_excluded,6,3,2,3,4.0
intra_abdominal_antibiotics,Assessed in Other Location,other_excluded,5,5,5,5,5.0
intra_abdominal_antibiotics,Delayed Confirmed,other_excluded,1,1,1,1,1.0
intra_abdominal_antibiotics,Hold Dose,not_given,1,1,1,1,1.0
prokinetic,Administered,given_strict,120012,13713,13294,24392,112835.0
prokinetic,Not Given,not_given,15694,3480,4265,5216,15238.0
prokinetic,Delayed Administered,given_strict,536,408,453,477,514.0
prokinetic,Hold Dose,other_excluded,479,325,337,350,472.0
prokinetic,Administered in Other Location,other_excluded,97,95,82,95,84.0
prokinetic,<NULL>,blank,91,74,42,76,51.0
prokinetic, in Other Location,other_excluded,44,41,42,43,43.0
prokinetic,Delayed ,other_excluded,12,10,11,11,12.0
prokinetic,Administered,not_given,9,9,3,9,3.0
prokinetic,Pain score re-assessment,other_excluded,7,3,0,4,0.0
prokinetic,Documented in O.R. Holding,other_excluded,3,3,3,3,3.0
prokinetic,Hold Dose,not_given,1,1,1,1,1.0
stress_ulcer_prophylaxis,Administered,given_strict,1169620,70363,134531,246468,1136731.0
stress_ulcer_prophylaxis,Not Given,not_given,52582,19887,25611,32731,50929.0
stress_ulcer_prophylaxis,Delayed Administered,given_strict,5157,3860,4353,4667,5085.0
stress_ulcer_prophylaxis,Hold Dose,other_excluded,3753,2733,3031,3264,3709.0
stress_ulcer_prophylaxis,Started,given_strict,3368,2882,1442,3333,1613.0
stress_ulcer_prophylaxis,Stopped,other_excluded,2965,2587,1227,2910,1307.0
stress_ulcer_prophylaxis,Confirmed,confirmed,1744,408,426,498,1710.0
stress_ulcer_prophylaxis,<NULL>,blank,633,368,367,391,610.0
stress_ulcer_prophylaxis,Administered in Other Location,other_excluded,603,564,556,590,584.0
stress_ulcer_prophylaxis,Delayed ,other_excluded,514,369,392,409,513.0
stress_ulcer_prophylaxis, in Other Location,other_excluded,255,238,203,246,208.0
stress_ulcer_prophylaxis,Documented in O.R. Holding,other_excluded,182,180,139,181,53.0
stress_ulcer_prophylaxis,Stopped in Other Location,other_excluded,104,103,76,104,69.0
stress_ulcer_prophylaxis,Administered,not_given,88,69,66,71,84.0
stress_ulcer_prophylaxis,Not Started,other_excluded,46,42,29,43,33.0
stress_ulcer_prophylaxis,Not Stopped,other_excluded,41,39,34,40,34.0
stress_ulcer_prophylaxis,Stopped - Unscheduled,other_excluded,37,34,34,36,37.0
stress_ulcer_prophylaxis,Restarted,other_excluded,31,30,19,31,19.0
stress_ulcer_prophylaxis,Started in Other Location,other_excluded,29,28,14,29,14.0
stress_ulcer_prophylaxis,Not Confirmed,other_excluded,17,17,17,17,16.0
stress_ulcer_prophylaxis,Partial Administered,not_given,17,14,14,14,17.0
stress_ulcer_prophylaxis,Delayed Started,other_excluded,10,10,10,10,10.0
stress_ulcer_prophylaxis,Confirmed in Other Location,other_excluded,6,5,5,5,6.0
stress_ulcer_prophylaxis,Partial Administered,given_strict,4,4,4,4,4.0
stress_ulcer_prophylaxis,Delayed Confirmed,other_excluded,3,3,3,3,2.0
stress_ulcer_prophylaxis,Hold Dose,not_given,1,1,1,1,1.0
stress_ulcer_prophylaxis,Pain score re-assessment,other_excluded,1,1,0,1,0.0
stress_ulcer_prophylaxis,Stopped - Unscheduled in Other Location,other_excluded,1,1,1,1,1.0
vte_prophylaxis,Administered,given_strict,1592398,93871,169060,304224,1555288.0
vte_prophylaxis,Confirmed,confirmed,294570,17768,22615,63065,288928.0
vte_prophylaxis,Not Given,not_given,134384,34102,48032,56162,131032.0
vte_prophylaxis,Started,given_strict,50970,19577,25029,50629,49153.0
vte_prophylaxis,Stopped,other_excluded,29526,14599,18340,29522,28547.0
vte_prophylaxis,Restarted,other_excluded,20115,8612,10359,13887,19523.0
vte_prophylaxis,Stopped As Directed,other_excluded,18410,8183,9805,12926,17835.0
vte_prophylaxis,Stopped - Unscheduled,other_excluded,9085,5798,6455,8517,8866.0
vte_prophylaxis,Not Confirmed,other_excluded,5750,3608,3964,4681,5676.0
vte_prophylaxis,Delayed Administered,given_strict,5129,4327,4602,4761,5056.0
vte_prophylaxis,Stopped in Other Location,other_excluded,4954,4216,4456,4916,4766.0
vte_prophylaxis,Hold Dose,other_excluded,4744,3761,4028,4193,4688.0
vte_prophylaxis,Not Stopped,other_excluded,2753,2342,2444,2656,2593.0
vte_prophylaxis, in Other Location,other_excluded,1655,1457,1466,1596,1592.0
vte_prophylaxis,Not Started,other_excluded,1389,1101,1110,1193,1369.0
vte_prophylaxis,Delayed Confirmed,other_excluded,1199,987,1022,1076,1186.0
vte_prophylaxis,Administered in Other Location,other_excluded,1084,1001,994,1021,1060.0
vte_prophylaxis,<NULL>,blank,906,730,742,784,890.0
vte_prophylaxis,Started in Other Location,other_excluded,853,814,759,849,785.0
vte_prophylaxis,Confirmed in Other Location,other_excluded,463,406,415,432,447.0
vte_prophylaxis,Flushed,flushed,223,111,113,127,223.0
vte_prophylaxis,Stopped - Unscheduled in Other Location,other_excluded,222,211,217,221,222.0
vte_prophylaxis,Delayed ,other_excluded,190,160,160,160,189.0
vte_prophylaxis,Delayed Started,other_excluded,178,174,174,178,177.0
vte_prophylaxis,Not Stopped per Sliding Scale,other_excluded,79,79,76,79,72.0
vte_prophylaxis,Documented in O.R. Holding,other_excluded,47,46,32,46,25.0
vte_prophylaxis,Delayed Stopped,other_excluded,22,22,21,22,21.0
vte_prophylaxis,Administered,not_given,21,19,19,19,21.0
vte_prophylaxis,Not Started per Sliding Scale,other_excluded,6,6,5,6,5.0
vte_prophylaxis,Delayed Not Confirmed,other_excluded,5,5,5,5,5.0
vte_prophylaxis,Not Flushed,other_excluded,5,4,4,4,5.0
vte_prophylaxis,Restarted in Other Location,other_excluded,5,5,5,5,5.0
vte_prophylaxis,Delayed Restarted,other_excluded,3,3,3,3,3.0
vte_prophylaxis,Administered Bolus from IV Drip,other_excluded,1,1,1,1,1.0
vte_prophylaxis,Delayed Administered,not_given,1,1,1,1,1.0
vte_prophylaxis,Delayed Stopped As Directed,other_excluded,1,1,1,1,1.0
vte_prophylaxis,Partial ,other_excluded,1,1,1,1,1.0
