linksto,itemid,label,abbreviation,category,unitname,param_type,fact_rows_n
chartevents,224699,ZAuto Peep Level,ZAuto Peep Level,Respiratory,cmH2O,Numeric,0
chartevents,224703,ZATC Tube #,ZATC Tube #,Respiratory,None,Numeric,0
chartevents,224718,RR > 35 for > 5 min,RR > 35 for > 5 min,Respiratory,,Text,0
chartevents,224719,SaO2 < 90% > 2 min,SaO2 < 90% > 2 min,Respiratory,,Text,0
chartevents,224720,Arrythmia,Arrythmia,Respiratory,,Text,0
chartevents,224721,HR > 140,HR > 140,Respiratory,,Text,0
chartevents,224723,Accessory Muscle Use,Accessory Muscle Use,Respiratory,,Text,0
chartevents,224748,Cont Neb - Dose (mg/hr/drug),Cont Neb - Dose (mg/hr/drug),Respiratory,mg/hour,Numeric,0
chartevents,224764,Neuro Drain Location,Neuro Drain Location,Neurological,,Text,0
chartevents,224765,Neuro Drain Head of Bed,Neuro Drain HOB,Neurological,,Text,0
chartevents,224818,GI #3 Tube Place Method,GI #3 Tube Place Method,GI/GU,,Text,0
chartevents,224826,ZHCO3 (serum),ZHCO3 (serum),Labs,None,Numeric,0
chartevents,224864,ZTrach Care,ZTrach Care,Respiratory,,Text,0
chartevents,225242,Indication (THCEN),Indication (THCEN),Thoracentesis,,Text,0
chartevents,225244,Side (THCEN),Side (THCEN),Thoracentesis,,Text,0
chartevents,225245,Patient position (THCEN),Patient position (THCEN),Thoracentesis,,Text,0
chartevents,225246,Fluid Removed (THCEN),Fluid Removed (THCEN),Thoracentesis,mL,Numeric,0
chartevents,225247,Fluid Removed Description (THCEN),Fluid Removed Description (THCEN),Thoracentesis,,Text,0
chartevents,225250,Complications (THCEN),Complications (THCEN),Thoracentesis,,Text,0
chartevents,225254,Indication (PACEN),Indication (PACEN),Paracentesis,,Text,0
chartevents,225255,Ultrasound (PACEN),Ultrasound (PACEN),Paracentesis,,Text,0
chartevents,225256,Insertion site prepped and draped (PACEN),Insertion site prepped and draped (PACEN),Paracentesis,,Checkbox,0
chartevents,225257,Lidocaine 1% (PACEN),Lidocaine 1% (PACEN),Paracentesis,mL SC,Numeric,0
chartevents,225260,Entry site (PACEN),Entry site (PACEN),Paracentesis,,Text,0
chartevents,225261,Fluid removed (PACEN),Fluid removed (PACEN),Paracentesis,mL,Numeric,0
chartevents,225262,Fluid removed description (PACEN),Fluid removed description (PACEN),Paracentesis,,Text,0
chartevents,225267,Difficult to Intubate,Difficult to Intubate,Intubation,,Checkbox,0
chartevents,225271,Induction/Drugs/Doses (Intubation),Induction/Drugs/Doses (Intubation),Intubation,,Text,0
chartevents,225277,ETT Position (cm at teeth),ETT Position (cm at teeth),Respiratory,None,Numeric,0
chartevents,225278,ETT Route,ETT Route,Respiratory,,Text,0
chartevents,225281,Indications (PICC),Indications (PICC),PICC Line Insertion,,Text,0
chartevents,225283,Hand Cleansing Prior to Procedure (PICC),Hand Cleansing Prior to Procedure (PICC),PICC Line Insertion,,Checkbox,0
chartevents,225284,PICC Ordered on POE,PICC Ordered on POE,PICC Line Insertion,,Checkbox,0
chartevents,225285,Catheter repositioned (PICC),Catheter repositioned (PICC),PICC Line Insertion,,Text,0
chartevents,225287,Transparent dressing applied and dated (PICC),Transparent dressing applied (PICC),PICC Line Insertion,,Checkbox,0
chartevents,225288,Follow-up X-RAY Ordered (PICC),Follow-up X-RAY Ordered (PICC),PICC Line Insertion,,Checkbox,0
chartevents,225289,Attending/Supervisor is Clinician Operator (PICC),Attending/Supervisor is Clinician Operator (PICC),PICC Line Insertion,,Checkbox,0
chartevents,225290,Present during key moments and agree with checklist (PICC),Present during procedure/agree w/ checklist (PICC),PICC Line Insertion,,Checkbox,0
chartevents,225291,Indication (Intubation),Indication (Intubation),Intubation,,Text,0
chartevents,225292,Unable to complete Airway Assessment (Intubation),Unable to complete Airway (Intubation),Intubation,,Checkbox,0
chartevents,225294,Mouth Opening (Intubation),Mouth Opening (Intubation),Intubation,,Text,0
chartevents,225295,Thyromental Distance (Intubation),Thyromental Distance (Intubation),Intubation,,Text,0
chartevents,225296,Mandibular Prognatism (Intubation),Mandibular Prognatism (Intubation),Intubation,,Text,0
chartevents,225297,Teeth/Dentition (Intubation),Teeth/Dentition (Intubation),Intubation,,Text,0
chartevents,225298,Neck ROM (Intubation),Neck ROM (Intubation),Intubation,,Text,0
chartevents,225300,No Drugs Administered (Intubation),No Drugs Administered (Intubation),Intubation,,Checkbox,0
chartevents,225301,RSI (Intubation),RSI (Intubation),Intubation,,Checkbox,0
chartevents,225302,Pre-Oxygentated (Intubation),Pre-Oxygentated (Intubation),Intubation,,Checkbox,0
chartevents,225303,Mask Ventilation (Intubation),Mask Ventilation (Intubation),Intubation,,Text,0
chartevents,225304,Blade / Equipment (Intubation),Blade / Equipment (Intubation),Intubation,,Text,0
chartevents,225306,Number of Attempts (Intubation),Number of Attempts (Intubation),Intubation,,Text,0
chartevents,225307,Oral ETT,Oral ETT,Intubation,,Checkbox,0
chartevents,225308,Nasal ETT,Nasal ETT,Intubation,,Checkbox,0
chartevents,225414,Home without services,Home without services,Case Management,,Checkbox,0
chartevents,225485,Insertion kit used (THCEN),Insertion kit used (THCEN),Thoracentesis,,Checkbox,0
chartevents,225486,Hand cleansing prior to procedure (THCEN),Hand cleansing prior to procedure (THCEN),Thoracentesis,,Checkbox,0
chartevents,225487,Barrier precautions in place (THCEN),Barrier precautions in place (THCEN),Thoracentesis,,Text,0
chartevents,225488,Follow-up X-RAY Ordered (THCEN),Follow-up X-RAY Ordered (THCEN),Thoracentesis,,Checkbox,0
chartevents,225489,Site cleansed with ChloraPrep (THCEN),Site cleansed with ChloraPrep (THCEN),Thoracentesis,,Checkbox,0
chartevents,225490,Timeout Performed by (THCEN),Timeout Performed by (THCEN),Thoracentesis,,Text,0
chartevents,225491,Patient identified correctly by 2 means (THCEN),Patient identified correctly by 2 means (THCEN),Thoracentesis,,Text,0
chartevents,225492,Verification of (THCEN),Verification of (THCEN),Thoracentesis,,Text,0
chartevents,225498,Timeout performed by (PACEN),Timeout performed by (PACEN),Paracentesis,,Text,0
chartevents,225499,Patient identified correctly by 2 means (PACEN),Patient identified correctly by 2 means (PACEN),Paracentesis,,Text,0
chartevents,225500,Verification of (PACEN),Verification of (PACEN),Paracentesis,,Text,0
chartevents,225501,Insertion kit used (PACEN),Insertion kit used (PACEN),Paracentesis,,Checkbox,0
chartevents,225503,Hand cleansing prior to procedure (PACEN),Hand cleansing prior to procedure (PACEN),Paracentesis,,Checkbox,0
chartevents,225504,Site cleaned with ChloraPrep (PACEN),Site cleaned with ChloraPrep (PACEN),Paracentesis,,Checkbox,0
chartevents,225506,Barrier precautions in place (PACEN),Barrier precautions in place (PACEN),Paracentesis,,Text,0
chartevents,225510,Patient (Bronch),Patient (Bronch),Bronchoscopy,,Text,0
chartevents,225511,Indications (Bronch),Indications (Bronch),Bronchoscopy,,Text,0
chartevents,225513,Route (Bronch),Route (Bronch),Bronchoscopy,,Text,0
chartevents,225514,Type (Bronch),Type (Bronch),Bronchoscopy,,Text,0
chartevents,225516,Location (Bronch),Location (Bronch),Bronchoscopy,,Text,0
chartevents,225518,Services (Bronch),Services (Bronch),Bronchoscopy,,Text,0
chartevents,225524,Complications (Bronch),Complications (Bronch),Bronchoscopy,,Text,0
chartevents,225526,Bronchoalveolar lavage (BAL) / washing (Bronch),Bronchoalveolar lavage (BAL) / (Bronch),Bronchoscopy,,Checkbox,0
chartevents,225527,Endobronchial ultrasound (EBUS) (Bronch),Endobronchial ultrasound (EBUS) (Bronch),Bronchoscopy,,Checkbox,0
chartevents,225528,Brushings (Bronch),Brushings (Bronch),Bronchoscopy,,Checkbox,0
chartevents,225529,Transbronchial biopsy (Bronch),Transbronchial biopsy (Bronch),Bronchoscopy,,Checkbox,0
chartevents,225530,Transbronchial needle aspirate (Bronch),Transbronchial needle aspirate (Bronch),Bronchoscopy,,Checkbox,0
chartevents,225531,Conscious sedation used (Bronch),Conscious sedation used (Bronch),Bronchoscopy,,Checkbox,0
chartevents,225532,Photodynamic therapy PDT (Bronch),Photodynamic therapy PDT (Bronch),Bronchoscopy,,Checkbox,0
chartevents,225533,Autofluorescence AF (Bronch),Autofluorescence AF (Bronch),Bronchoscopy,,Checkbox,0
chartevents,225536,Hand cleansing prior to procedure (Bronch),Hand cleansing prior to procedure(Bronch),Bronchoscopy,,Checkbox,0
chartevents,225538,Barrier precautions in place (Bronch),Barrier precautions in place (Bronch),Bronchoscopy,,Text,0
chartevents,225539,Timeout performed by (Bronch),Timeout performed by (Bronch),Bronchoscopy,,Text,0
chartevents,225540,Patient identified correctly (Bronch),Patient identified correctly (Bronch),Bronchoscopy,,Text,0
chartevents,225541,Verification of (Bronch),Verification of (Bronch),Bronchoscopy,,Text,0
chartevents,225550,Side (A-Line),Side (A-Line),Arterial Line Insertion,,Text,0
chartevents,225552,Insertion site (A-Line),Insertion site (A-Line),Arterial Line Insertion,,Text,0
chartevents,225556,Replaced previous Arterial line over wire,Replaced previous Arterial line,Arterial Line Insertion,,Checkbox,0
chartevents,225565,Insertion kit used (A-Line),Insertion kit used (A-Line),Arterial Line Insertion,,Checkbox,0
chartevents,225567,Hand cleansing prior to procedure (A-Line),Hand cleansing prior to procedure(A-Line),Arterial Line Insertion,,Checkbox,0
chartevents,225568,Site cleaned with ChloraPrep(TM) (A-Line),Site cleaned with ChloraPrep(TM) (A-Line),Arterial Line Insertion,,Checkbox,0
chartevents,225571,Number of attempts required to place line (A-Line),Number of attempts required to place line (A-Line),Arterial Line Insertion,,Text,0
chartevents,225573,Transparent dressing applied and dated (A-Line),Transparent dressing applied (A-Line),Arterial Line Insertion,,Checkbox,0
chartevents,225575,Arterial Line ordered on POE,Arterial Line ordered on POE,Arterial Line Insertion,,Checkbox,0
chartevents,225578,Indications (CVL),Indications (CVL),CVL Insertion,,Text,0
chartevents,225580,Is alternative vascular access present (CVL),Is alternative vascular access (CVL),CVL Insertion,,Checkbox,0
chartevents,225581,Location (CVL),Location (CVL),CVL Insertion,,Text,0
chartevents,225585,ETT Depth (Intubation),ETT Depth (Intubation),Intubation,,Text,0
chartevents,225586,Stylette (Intubation),Stylette (Intubation),Intubation,,Checkbox,0
chartevents,225587,Bougie (Intubation),Bougie (Intubation),Intubation,,Checkbox,0
chartevents,225588,Tube Secured (Intubation),Tube Secured (Intubation),Intubation,,Checkbox,0
chartevents,225590,Tracheal Confirmation (Intubation),Tracheal Confirmation (Intubation),Intubation,,Text,0
chartevents,225592,ETT Size (Intubation),ETT Size (Intubation),Intubation,,Text,0
chartevents,225593,Best Larynx View Obtained (Intubation),Best Larynx View Obtained (Intubation),Intubation,,Text,0
chartevents,225596,Timeout Performed by (LP),Timeout Performed by (LP),Lumbar Puncture,,Text,0
chartevents,225597,Patient identified correctly (LP),Patient identified correctly (LP),Lumbar Puncture,,Text,0
chartevents,225598,Verification of (LP),Verification of (LP),Lumbar Puncture,,Text,0
chartevents,225599,Insertion kit used (LP),Insertion kit used (LP),Lumbar Puncture,,Checkbox,0
chartevents,225601,Hand cleansing prior to procedure (LP),Hand cleansing prior to procedure (LP),Lumbar Puncture,,Checkbox,0
chartevents,225602,Barrier precautions in place (LP),Barrier precautions in place (LP),Lumbar Puncture,,Text,0
chartevents,225607,Hand cleansing prior to procedure (PA Line),Hand cleansing prior (PA Line),PA Line Insertion,,Checkbox,0
chartevents,225608,Insertion kit used (PA line),Insertion kit used (PA line),PA Line Insertion,,Checkbox,0
chartevents,225609,Site cleaned with ChloraPrep(TM) (PA line),Site cleaned ChloraPrep(TM) (PA line),PA Line Insertion,,Checkbox,0
chartevents,225615,Location (PA line),Location (PA line),PA Line Insertion,,Text,0
chartevents,225622,ZBrain Natiuretic Peptide (BNP),ZBrain Natiuretic Peptide (BNP),Labs,None,Numeric,0
chartevents,225623,Number of attempts require to place line (PA line),Number of attempts require to place line (PA line),PA Line Insertion,,Text,0
chartevents,225629,Guidewire (PA Line),Guidewire (PA Line),PA Line Insertion,,Text,0
chartevents,225630,Ultrasound (PA line),Ultrasound (PA line),PA Line Insertion,,Text,0
chartevents,225631,Side (PA line),Side (PA line),PA Line Insertion,,Text,0
chartevents,225632,ZCK-MB,ZCK-MB,Labs,None,Numeric,0
chartevents,225633,Acuity (PA line),Acuity (PA line),PA Line Insertion,,Text,0
chartevents,225644,ZDigoxin,ZDigoxin,Labs,None,Numeric,0
chartevents,225645,ZPhenytoin (Dilantin),ZPhenytoin (Dilantin),Labs,None,Numeric,0
chartevents,225646,Transparent dressing applied and dated (PA line),Transparent dressing applied  (PA line),PA Line Insertion,,Checkbox,0
chartevents,225647,PA line ordered on POE,PA line ordered on POE,PA Line Insertion,,Checkbox,0
chartevents,225648,Follow-up X-RAYordered (PA Line),Follow-up X-RAY ordered (PA Line),PA Line Insertion,,Checkbox,0
chartevents,225655,ZFK506,ZFK506,Labs,None,Numeric,0
chartevents,225658,Freeform Drug Level,Freeform Drug Level,Labs,None,Numeric,0
chartevents,225659,Freeform Enzymes,Freeform Enzymes,Labs,None,Numeric,0
chartevents,225660,Freeform Hematology,Freeform Hematology,Labs,None,Numeric,0
chartevents,225662,ZGentamicin (Peak),ZGentamicin (Peak),Labs,None,Numeric,0
chartevents,225670,ZLDL measured,ZLDL measured,Labs,None,Numeric,0
chartevents,225676,ZPhenobarbital,ZPhenobarbital,Labs,None,Numeric,0
chartevents,225678,ZPlatelet Count,ZPlatelet Count,Labs,None,Numeric,0
chartevents,225679,ZProcan,ZProcan,Labs,None,Numeric,0
chartevents,225680,ZProcan Napa,ZProcan Napa,Labs,None,Numeric,0
chartevents,225683,ZSed Rate,ZSed Rate,Labs,None,Numeric,0
chartevents,225685,Thiocynate,Thiocynate,Labs,None,Numeric,0
chartevents,225686,ZThrombin,ZThrombin,Labs,None,Numeric,0
chartevents,225688,ZTobramycin (Peak),ZTobramycin (Peak),Labs,None,Numeric,0
chartevents,225689,Insertion kit used (PICC Line),Insertion kit used (PICC Line),PICC Line Insertion,,Checkbox,0
chartevents,225694,ZTropinin - T,ZTropinin - T,Labs,None,Numeric,0
chartevents,225697,ZVancomycin (Peak),ZVancomycin (Peak),Labs,None,Numeric,0
chartevents,225700,Immediate complications (CVL),Immediate complications (CVL),CVL Insertion,,Checkbox,0
chartevents,225701,Transparent dressing applied and dated (CVL),Transparent dressing applied  (CVL),CVL Insertion,,Checkbox,0
chartevents,225702,Follow-up chest X-RAY ordered (CVL),Follow-up chest X-RAY ordered (CVL),CVL Insertion,,Checkbox,0
chartevents,225704,Site cleaned with ChloraPrep(TM) (CVL),Site cleaned with ChloraPrep(TM) (CVL),CVL Insertion,,Checkbox,0
chartevents,225705,Hand cleansing prior to procedure (CVL),Hand cleansing prior to procedure (CVL),CVL Insertion,,Checkbox,0
chartevents,225706,Insertion kit used (CVL),Insertion kit used (CVL),CVL Insertion,,Checkbox,0
chartevents,225707,Central Line ordered on POE,Central Line ordered on POE,CVL Insertion,,Checkbox,0
chartevents,225708,Immediate complications (PICC),Immediate complications (PICC),PICC Line Insertion,,Checkbox,0
chartevents,225714,Location (A-Line),Location (A-Line),Arterial Line Insertion,,Text,0
chartevents,225717,Guidewire (A-Line),Guidewire (A-Line),Arterial Line Insertion,,Text,0
chartevents,225718,Ultrasound (A-Line),Ultrasound (A-Line),Arterial Line Insertion,,Text,0
chartevents,225719,Number of operators (A-Line),Number of operators (A-Line),Arterial Line Insertion,,Text,0
chartevents,225721,Acuity (A-Line),Acuity (A-Line),Arterial Line Insertion,,Text,0
chartevents,225727,IABP Line Tip Cultured,IABP Line Tip Cultured,Access Lines - Invasive,,Checkbox,0
chartevents,225733,Indwelling Port (PortaCath) Line Tip Cultured,Indwelling Port (PortaCath) Line Tip Cultured_2016,Access Lines - Invasive,,Checkbox,0
chartevents,225774,CCO PAC Dressing Type,CCO PAC Dressing Type,Access Lines - Invasive,,Text,0
chartevents,225775,Cordis Introducer Dressing Type,Cordis Introducer Dressing Type,Access Lines - Invasive,,Text,0
chartevents,225776,Dialysis Catheter Dressing Type,Dialysis Catheter Dressing Type,Access Lines - Invasive,,Text,0
chartevents,225777,Tunneled (Hickman) Dressing Type,Tunneled (Hickman) Dressing Type,Access Lines - Invasive,,Text,0
chartevents,225778,IABP Dressing Type,IABP Dressing Type,Access Lines - Invasive,,Text,0
chartevents,225779,Midline Dressing Type,Midline Dressing Type,Access Lines - Invasive,,Text,0
chartevents,225780,Multi Lumen Dressing Type,Multi Lumen Dressing Type,Access Lines - Invasive,,Text,0
chartevents,225781,PA Catheter Dressing Type,PA Catheter Dressing Type,Access Lines - Invasive,,Text,0
chartevents,225782,Pheresis Catheter Dressing Type,Pheresis Catheter Dressing Type,Access Lines - Invasive,,Text,0
chartevents,225784,Indwelling Port (PortaCath) Dressing Type,Indwelling Port (PortaCath) Dressing Type,Access Lines - Invasive,,Text,0
chartevents,225785,Presep Catheter Dressing Type,Presep Catheter Dressing Type,Access Lines - Invasive,,Text,0
chartevents,225786,Sheath Dressing Type,Sheath Dressing Type,Access Lines - Invasive,,Text,0
chartevents,225787,Trauma Line Dressing Type,Trauma Line Dressing Type,Access Lines - Invasive,,Text,0
chartevents,225788,Triple Introducer Dressing Type,Triple Introducer Dressing Type,Access Lines - Invasive,,Text,0
chartevents,225790,Site cleaned with ChloraPrep(TM) (PICC),Site cleaned with ChloraPrep(TM) (PICC),PICC Line Insertion,,Checkbox,0
chartevents,226005,Sterile field maintained throughout procedure (CVL),Sterile field throughout procedure (CVL),CVL Insertion,,Checkbox,0
chartevents,226007,Number of operators (PA line),Number of operators (PA line),PA Line Insertion,,Text,0
chartevents,226008,Arterial line sutured,Arterial line sutured,Arterial Line Insertion,,Checkbox,0
chartevents,226009,Dressing applied and dated (THCEN),Dressing applied and dated (THCEN),Thoracentesis,,Checkbox,0
chartevents,226010,Number of operators (PACEN),Number of operators (PACEN),Paracentesis,,Text,0
chartevents,226011,Number of attempts (PACEN),Number of attempts (PACEN),Paracentesis,None,Numeric,0
chartevents,226012,Dressing applied and dated (PACEN),Dressing applied and dated (PACEN),Paracentesis,,Checkbox,0
chartevents,226014,Dressing applied and dated (LP),Dressing applied and dated (LP),Lumbar Puncture,,Checkbox,0
chartevents,226064,ZVancomycin (Trough),ZVancomycin (Trough),Labs,None,Numeric,0
chartevents,226065,ZVancomycin (Random),ZVancomycin (Random),Labs,None,Numeric,0
chartevents,226066,ZTobramycin (Trough),ZTobramycin (Trough),Labs,None,Numeric,0
chartevents,226067,ZTobramycin (Random),ZTobramycin (Random),Labs,None,Numeric,0
chartevents,226068,ZGentamicin (Trough),ZGentamicin (Trough),Labs,None,Numeric,0
chartevents,226069,ZGentamicin (Random),ZGentamicin (Random),Labs,None,Numeric,0
chartevents,226127,ICP Line Dressing Type,ICP Line Dressing Type,Access Lines - Invasive,,Text,0
chartevents,226161,Sterile field maintained throughout procedure (PICC),Sterile field throughout procedure (PICC),PICC Line Insertion,,Checkbox,0
chartevents,226162,Sterile field maintained throughout procedure (PA line),Sterile field through procedure (PAline),PA Line Insertion,,Checkbox,0
chartevents,226164,Sterile field maintained throughout procedure (A-Line),Sterile field maintained (A-Line),Arterial Line Insertion,,Checkbox,0
chartevents,226166,No Complications (Intubation),No Complications (Intubation),Intubation,,Checkbox,0
chartevents,226188,Timeout Performed by (Intubation),Timeout Performed by (Intubation),Intubation,,Text,0
chartevents,226189,Patient identified correctly by 2 means (Intubation),Patient identified correctly by 2 means (Intubatio,Intubation,,Text,0
chartevents,226190,Hand Cleansing prior to procedure (Intubation),Hand Cleansing prior to (Intubation),Intubation,,Checkbox,0
chartevents,226191,Barrier precautions in place (Intubation),Barrier precautions in place (Intubation),Intubation,,Text,0
chartevents,226226,Enteral Nutriton Residuals,Enteral Nutriton Residuals,Nutrition - Enteral,None,Numeric,0
chartevents,226228,Gender,Gender,ADT,,Text,0
chartevents,226230,Attending/Supervisor is Clinician Operator (CVL),Attending/Supervisor is Clinician Operator (CVL),CVL Insertion,,Checkbox,0
chartevents,226232,Present during key moments and agree with checklist (CVL),Present during procedure/agree w/ checklist (CVL),CVL Insertion,,Checkbox,0
chartevents,226239,Number of operators (PICC),Number of operators (PICC),PICC Line Insertion,,Text,0
chartevents,226259,ZOn Pressors,ZOn Pressors,General,,Checkbox,0
chartevents,226260,Mechanically Ventilated,Mechanically Ventilated,General,,Checkbox,0
chartevents,226429,ETT Type (Intubation),ETT Type (Intubation),Intubation,,Text,0
chartevents,226430,Complications (Intubation),Complications (Intubation),Intubation,,Text,0
chartevents,226431,Verification of (Intubation),Verification of (Intubation),Intubation,,Text,0
chartevents,226432,Drugs (Intubation),Drugs (Intubation),Intubation,,Text,0
chartevents,226439,Complications (PACEN),Complications (PACEN),Paracentesis,,Text,0
chartevents,226443,Complications (LP),Complications (LP),Lumbar Puncture,,Text,0
chartevents,226523,Barrier precautions in place (A-Line),Barrier precautions in place (A-Line),Arterial Line Insertion,,Text,0
